name,technique,dimensions,image_size,image_dimensions,yoc,poc,type,file_name
A High Priest,Mixed Media on Canvas,18x24 cm,59.61 MB,5916x7895,2023,Cluj-Napoca,canvas_paintings,
Androgyny,Mixed Media on Canvas,30x30 cm,11.61 MB,2726x2720,2019,Bucuresti,canvas_paintings,
Animated Portrait #1,Mixed Media on Canvas,18x24 cm,16.79 MB,2657x3344,2020,Piatra Neamt,canvas_paintings,
Animated Portrait #2,Mixed Media on Canvas,18x24 cm,5.67 MB,1740x2354,2020,Piatra Neamt,canvas_paintings,
Animated Portrait #3,Mixed Media on Canvas,18x24 cm,8.19 MB,2660x1770,2021,Piatra Neamt,canvas_paintings,
Animated Portrait #4,Mixed Media on Canvas,18x24 cm,7.07 MB,2570x1901,2021,Piatra Neamt,canvas_paintings,
Animated Portrait #5,Mixed Media on Canvas,18x24 cm,15.33 MB,2711x3640,2021,Piatra Neamt,canvas_paintings,
Animated Portrait #6,Mixed Media on Canvas,18x24 cm,2.34 MB,1172x1557,2021,Piatra Neamt,canvas_paintings,
Animated Portrait #7,Mixed Media on Canvas,18x24 cm,12.96 MB,3049x4026,2021,Piatra Neamt,canvas_paintings,
Animated Portrait #8,Mixed Media on Canvas,18x24 cm,14.88 MB,3155x4071,2021,Piatra Neamt,canvas_paintings,
Animated Portrait #9,Mixed Media on Canvas,18x24 cm,16.19 MB,3093x4060,2021,Piatra Neamt,canvas_paintings,
Attention,Mixed Media on Canvas,20cm Ø,117.56 MB,9331x9344,2021,Bucuresti,canvas_paintings,
Atypical Night in Costinesti,Mixed Media on Canvas,20x40 cm,233.48 MB,13943x6674,2021,Bucuresti,canvas_paintings,
Avalus B,Mixed Media on Canvas,40cm Ø,125.31 MB,9360x9381,2022,Bucuresti,canvas_paintings,avalus_b.webp
Between Mother and God,Mixed Media on Canvas,40cm Ø,151.39 MB,10069x9868,2021,Bucuresti,canvas_paintings,
Bilomphia,Mixed Media on Canvas,30x30 cm,100.93 MB,7239x7201,2021,Bucuresti,canvas_paintings,
Blameleon,Mixed Media on Canvas,18x24 cm,33.53 MB,4329x5845,2023,Cluj-Napoca,canvas_paintings,
Born Anew,Mixed Media on Canvas,90x120 cm,75.91 MB,7953x5927,2023,Cluj-Napoca,canvas_paintings,
Collision,Mixed Media on Canvas,18x24 cm,49.72 MB,4680x6077,2023,Cluj-Napoca,canvas_paintings,
Creator of Inexistent Laws,Mixed Media on Canvas,18x24 cm,48.73 MB,4441x5986,2021,Piatra Neamt,canvas_paintings,creator_of_inexistent_laws.webp
Decency,Mixed Media on Canvas,35x50 cm,54.83 MB,5487x4372,2021,Piatra Neamt,canvas_paintings,
Divine Aspiration,Mixed Media on Canvas,50x70 cm,19.00 MB,2717x3824,2020,Piatra Neamt,canvas_paintings,
Egoless Divinity,Mixed Media on Canvas,30cm Ø,67.14 MB,6202x6197,2021,Piatra Neamt,canvas_paintings,
Epignos,Mixed Media on Canvas,30x50 cm,17.23 MB,2666x3883,2020,Piatra Neamt,canvas_paintings,
Epiphany,Mixed Media on Canvas,40cm Ø,68.97 MB,6940x6940,2023,Cluj-Napoca,canvas_paintings,
Esi-C ,Mixed Media on Canvas,18x24 cm,49.06 MB,4224x5844,2021,Piatra Neamt,canvas_paintings,esic.webp
Evanoek,Mixed Media on Canvas,35x50 cm,134.64 MB,8478x10542,2021,Bucuresti,canvas_paintings,
Exorania,Mixed Media on Canvas,24x30 cm,181.78 MB,10974x7920,2021,Bucuresti,canvas_paintings,
Father with Disobedient Son,Mixed Media on Canvas,35x50 cm,15.34 MB,4411x3306,2021,Piatra Neamt,canvas_paintings,
Festivity,Mixed Media on Canvas,70x90 cm,132.66 MB,7981x10201,2022,Bucuresti,canvas_paintings,
Golden Leo,Mixed Media on Canvas,18x24 cm,90.57 MB,6104x8041,2021,Bucuresti,canvas_paintings,
Golden Mask Djinn,Mixed Media on Canvas,20x30 cm,6.91 MB,1686x2126,2021,Piatra Neamt,canvas_paintings,
Grey War,Mixed Media on Canvas,60x80 cm,11.80 MB,3799x2533,2020,Piatra Neamt,canvas_paintings,
Guardian Dragon against Dark Matter,Mixed Media on Canvas,24x30 cm,80.88 MB,7157x5360,2021,Piatra Neamt,canvas_paintings,
Hard Choice,Mixed Media on Canvas,18x24 cm,83.14 MB,6203x7451,2022,Bucuresti,canvas_paintings,
Harlequin,Mixed Media on Canvas,40cm Ø,4.51 MB,2022x1995,2023,Cluj-Napoca,canvas_paintings,harlequin.webp
Healing Earring,Mixed Media on Canvas,20x30 cm,8.13 MB,1774x2619,2022,Bucuresti,canvas_paintings,healing_earring.webp
Healing Suffering,Mixed Media on Canvas,40cm Ø,59.78 MB,7108x7108,2023,Cluj-Napoca,canvas_paintings,
Iatam,Mixed Media on Canvas,20x20 cm,40.96 MB,4911x5164,2023,Cluj-Napoca,canvas_paintings,iatam.webp
Impesigra,Mixed Media on Canvas,35x40 cm,15.27 MB,3527x3110,2020,Piatra Neamt,canvas_paintings,
Inner Snow,Mixed Media on Canvas,20cm Ø,43.78 MB,5909x5908,2021,Bucuresti,canvas_paintings,
Irovanura,Mixed Media on Canvas,30cm Ø,59.07 MB,6502x6472,2021,Bucuresti,canvas_paintings,
Itiada,Mixed Media on Canvas,18x24 cm,18.18 MB,3147x4176,2021,Piatra Neamt,canvas_paintings,itiada.webp
Lone Tree,Mixed Media on Canvas,20cm Ø,52.27 MB,4979x4915,2023,Cluj-Napoca,canvas_paintings,
Lubemir,Mixed Media on Canvas,24x30 cm,18.86 MB,3039x3859,2021,Piatra Neamt,canvas_paintings,
Mad God Story,Mixed Media on Canvas,35x50 cm,20.97 MB,2619x3729,2020,Piatra Neamt,canvas_paintings,
Makavoina,Mixed Media on Canvas,30cm Ø,34.12 MB,4618x4625,2021,Piatra Neamt,canvas_paintings,
Maternity,Mixed Media on Canvas,24x30 cm,23.53 MB,4040x5017,2020,Piatra Neamt,canvas_paintings,
Medivina,Mixed Media on Canvas,20x30 cm,12.71 MB,1979x2969,2021,Piatra Neamt,canvas_paintings,
Metaphysics of Green,Mixed Media on Canvas,60x90 cm,133.02 MB,10462x7514,2021,Piatra Neamt,canvas_paintings,
Metaphysics of Indecision,Mixed Media on Canvas,50x70 cm,211.81 MB,8437x11253,2022,Bucuresti,canvas_paintings,
Metaphysics of Love,Mixed Media on Canvas,25x40 cm,157.64 MB,7142x13216,2022,Bucuresti,canvas_paintings,
Metaphysics of Suffering,Mixed Media on Canvas,40cm Ø,151.75 MB,10003x9773,2022,Bucuresti,canvas_paintings,
Mirastia,Mixed Media on Canvas,24x30 cm,100.64 MB,6414x7975,2021,Bucuresti,canvas_paintings,
Mystic Fistic,Mixed Media on Canvas,18x24 cm,28.71 MB,3370x4629,2021,Piatra Neamt,canvas_paintings,
Nakymatris,Mixed Media on Canvas,30x30 cm,108.11 MB,7870x7873,2021,Piatra Neamt,canvas_paintings,nakymatris.webp
Of Toybox,Mixed Media on Canvas,30x50 cm,7.03 MB,2318x1735,2022,Bucuresti,canvas_paintings,
Olvasir,Mixed Media on Canvas,18x24 cm,4.95 MB,2000x1501,2021,Piatra Neamt,canvas_paintings,
Omniadeios,Mixed Media on Canvas,25x50 cm,12.98 MB,2000x1206,2021,Piatra Neamt,canvas_paintings,
Onec Pau,Mixed Media on Canvas,20x40 cm,177.69 MB,6858x13726,2021,Bucuresti,canvas_paintings,
City of the White Snake,Mixed Media on Canvas,30x50 cm,14.73 MB,1322x2000,2020,Bucuresti,canvas_paintings,
Paradox,Mixed Media on Canvas,35x50 cm,15.82 MB,1447x2000,2020,Piatra Neamt,canvas_paintings,
Playful Tragedy,Mixed Media on Canvas,60cm Ø,103.77 MB,9960x9960,2023,Cluj-Napoca,canvas_paintings,playful_tragedy.webp
Prince's Joy,Mixed Media on Canvas,40cm Ø,116.25 MB,9532x9532,2022,Bucuresti,canvas_paintings,
Prismevina,Mixed Media on Canvas,35x50 cm,16.10 MB,1609x2000,2021,Piatra Neamt,canvas_paintings,
Realm of the Three Dementias,Mixed Media on Canvas,18x24 cm,10.50 MB,1544x1947,2020,Piatra Neamt,canvas_paintings,
Rebound ,Mixed Media on Canvas,40cm Ø,127.47 MB,9906x9906,2022,Bucuresti,canvas_paintings,rebound.webp
Red Flight,Mixed Media on Canvas,18x24 cm,68.51 MB,7442x5459,2023,Cluj-Napoca,canvas_paintings,
Reversal,Mixed Media on Canvas,20x20 cm,64.39 MB,5891x6063,2023,Cluj-Napoca,canvas_paintings,
Alopia,Mixed Media on Canvas,20cm Ø,141.30 MB,9883x9878,2022,Bucuresti,canvas_paintings,
Royal Relique,Mixed Media on Canvas,50x70 cm,15.93 MB,1499x2000,2021,Piatra Neamt,canvas_paintings,
Sacred Soil,Mixed Media on Canvas,40cm Ø,125.05 MB,9166x9166,2022,Bucuresti,canvas_paintings,
Safety Bubble,Mixed Media on Canvas,40cm Ø,58.18 MB,6805x6805,2023,Cluj-Napoca,canvas_paintings,
